LangCode,English,ChineseS
LC_loading_tips1,Loading...,动物园开门营业的第356天~正在开门中
LC_loading_tips2,Warning: Clearing the cache will result in the loss of all game data,警告：清除缓存会导致游戏数据全部丢失
LC_loading_upgradetips,Upgrading your animal habitat can benefit a lot,升级动物栖息地可以使你在游戏中获益良多
LC_loading_faillogin,Failed to login,登录失败
,,
LC_teach_tap,Tap To Begin,点击屏幕开始
LC_teach_drag,Drag to steer,拖拽以控制方向
LC_teach_holdon,Hold on!,按住别放手！
LC_teach_presshold,Press & Hold,按住屏幕
LC_teach_release,Release,松手
LC_teach_Swipe1,Swipe the screen to change direction to get the perfect photo,滑动屏幕改变方向来获得完美的照片
LC_teach_Swipe2,Okay!take a picture now,好了~现在拍照吧
LC_teach_cool,I want to be cool,我要变酷炫
LC_teach_befriend,You be friended the,你交到了新朋友
LC_teach_CapeBuffalo,Cape Buffalo,披风野牛
LC_teach_chooseahero,Choose a hero,选择人物
LC_teach_someoneelse,Someone else,换一个
LC_teach_befriended,You befriended the,你交到了新朋友
,,
,,
,,
LC_ship_goodjob1,Good job! Now you have become a zookeeper!,干得好!现在您已成为动物园管理员啦！
LC_ship_goodjob2,Get to know more animals to expand your zoo!,去结识更多动物来扩大你的动物园吧!
LC_ship_nopupup,No pop up today,今日不再弹出
LC_ship_update,Update,更新内容
LC_ship_open,Open,开门
LC_ship_free,Free,免费获取
LC_ship_3xcoins,Get 3x Coins,三倍金币
LC_ship_visitnow,Visit Now,马上到访
LC_ship_openfb,Open For Business,开门营业
LC_ship_map,Map,地图
LC_ship_setting,Setting,设置
LC_ship_endangered,Endangered,濒危
LC_ship_dressup,Dress Up,换装
LC_ship_shop,Shop,商城
LC_ship_freediamonds,Free Diamonds,免费钻石
LC_ship_pack,Gift Pack,礼包
LC_ship_rank,Rank,排行榜
LC_ship_turntabl,Turntable,转盘
LC_ship_nextcruise,Next cruise:,下个观光团到来：
LC_ship_invite,Invite,邀请
LC_ship_center,Center,活动中心
LC_ship_knowledge,Knowledge,动物冷知识
LC_ship_add,Add,添加桌面
LC_ship_family,Family,家庭
LC_ship_newmapmoreanimal,Unlock new map and discover more animals!,解锁新地图发现更多动物！
LC_ship_familypass,FAMILY PASS,家庭票
LC_ship_redeo,RODEO STAMPEDE ZOO,疯狂动物园
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
LC_giftbag_exclusiveskin,Exclusive Skin,专属皮肤福利
LC_giftbag_cashcowrule,Rule: Double Zoo Income,摇钱牛规则：每次开门营业获得双倍金币
LC_giftbag_reviverule,Rule: One Free Revive Per Run,复活渡鸭规则：每局游戏首次复活免费
LC_giftbag_watchvideotryskin,Watch the video to try the skin,Watch the video to try the skin
LC_giftbag_freecollection,Free,免费领取
LC_giftbag_watchads,Watch AD,观看广告
LC_giftbag_watchadsx3,Watch 3 ads to receive rewards,累计观看3次广告领到奖励
LC_giftbag_nothanks,Maybe Later,不了~谢谢!
LC_giftbag_buynow,Buy Now,立刻购买
,,
LC_videotips_playtime,Your game time has exceeded 90 minutes today and will be forced offline.,您今日游戏时长已经超过90分钟~将强制下线~
LC_vipanimal_upgradevip,Upgrade VIP to get exclusive mysterious animals!,升级VIP可获得独家神秘动物！
,,
LC_setting_changetasktimes,3 times a day,一天最多更换三次任务
LC_setting_doublereward,Double Reward,双倍奖励
LC_setting_signin,Sign In,签到
LC_setting_watchadsreward2,Watch the video and get a double reward,观看视频获得双重奖励
LC_setting_sound,Sound,音效
LC_setting_music,Music,音乐
LC_daymission_progress,Collection Progress,收集进度
LC_designplayer_hats,Ride rare animals in the stampede to unlock new hats!,骑乘稀有动物可以解锁各种帽子！
LC_designplayer_customise,Customise,定制
LC_designplayer_player,Player,角色
,,
LC_com_savannah,Savannah,稀树草原
LC_com_tundra,Tundra,极地
LC_com_jungle,Jungle,丛林
LC_com_sec,s,秒
LC_com_min,m,分
LC_com_hour,h,小时
LC_com_hour1,h,时
LC_com_day,d,天
LC_com_meter,m,米
LC_com_getdiamonds, Get Diamonds,领取钻石
LC_com_attemptslefttoday,Attempts Left Today: ,本日剩余次数:
LC_com_timesleft,{0} time(s) left,剩余{0}次可用
LC_com_remainingtime,Remaining Time:,剩余时间:
LC_com_readyupgradeship,You are ready to upgrade your ship.Open the map screen.,
LC_com_upgradeshipdes,Ship upgrades unlock new types of animals and allow you to explore new worlds.,
LC_com_sale,Sale,特惠
LC_com_free,Free,免费
LC_com_congratulations,Congratulations,恭喜
,,
LC_com_no,Nope,不了
LC_com_try,Try,暂时试用
LC_com_notry,Nope,暂不试用
LC_com_confirm,Confirm,确认
LC_com_back,Back,返回
LC_com_start,Start,开始
LC_com_start1,Play,开始
LC_com_claim,Claim,领取
LC_com_claim1,Claim,点击领取
LC_com_task,Task,任务
LC_com_shop,Shop,商城
LC_com_setting,Setting,设置
LC_com_progress1,Progress,完成进度
LC_com_progress,Progress,进度
LC_com_retry,Retry,重试
LC_com_gonow,Go Now,立刻前往
LC_com_dailytask,Daily Task,每日任务
LC_com_cancel,Cancel,取消
LC_com_notenoughdiamond,Not enough diamond,钻石不足
LC_com_notenoughcoin,Not enough coin,金币不足
LC_com_paymentsucc,Payment successful,购买成功
LC_com_purchasesucc,Congratulations on your successful purchase,恭喜您购买成功
LC_com_purchasesucc1,Successful purchase,购买成功~
LC_com_spendgoldtofreshtask,Spend coins to refresh the task,花费金币刷新任务
LC_com_brokennewrecord,You have broken a new record!,你已经突破了新纪录!
LC_com_staytuned,Coming Soon,敬请关注
LC_com_notopen,Not open,未开放
LC_com_remaining,Remaining,剩余
LC_com_build,Build,建造
LC_com_habitat,habitat,栖息地
LC_com_go,Go,前往
LC_com_get,Get,领取
LC_com_inprogress,In progress,进行中
LC_com_complete1,Completed,完成
LC_com_complete,complete,完成
LC_com_congratulationsongetrarehat,Congratulations on getting the rare hat,恭喜获得稀有帽子
LC_com_congratulationsonget,Congrats!,恭喜获得
LC_com_congratulationsonget1,Congratulations on getting 1000 coins,恭喜获得1000金币
LC_com_congratulationsongetskin,Congratulations on getting the exclusive skin!,恭喜活的专属皮肤！
LC_com_spend,Spend,花费
LC_com_toget,to get,获得
LC_com_coin,Coin,金币
LC_com_coins,Coins,金币
LC_com_diamond,Diamond,钻石
LC_com_diamonds,Diamonds,钻石
LC_com_havereceiveddiamonds10,You have received 10 diamonds!,您领取了10个钻石！
LC_com_havereceived,You have received!,您已经领取了！
LC_com_havereceived,Stay tuned,敬请期待
LC_com_purchased,Purchased,已购买
LC_com_soldout,sold out,售罄
LC_com_tasknotcompleted,Task not completed,任务未完成
LC_com_completetogetrewards,Complete tasks to receive rewards,完成任务领取奖励
LC_com_earlofphant,Earl of Phant,象伯爵
LC_com_electrozebra,Electro Zebra,电子斑马
LC_com_highballer,Highballer,环球旅行者
LC_com_guerilla,Guerilla,游击猩猩
LC_com_borc,Borc,哥布林猪
LC_com_bunnygator,Bunny Gator,兔兔鳄
LC_com_brewcan,Brewcan,啤酒鸟
LC_com_skynoceros,Skynoceros,犀牛飞飞
LC_com_hrtiger,H.R. Tiger,异形虎
LC_com_elephant,Elephant,大象
LC_com_zebra,Zebra,斑马
LC_com_buffalo,Buffalo,野牛
LC_com_lion,Lion,狮子
LC_com_glamrockstrich,Glam Rockstrich,鸵鸟乐手
LC_com_ostrich,Ostrich,鸵鸟
LC_com_giraffe,Giraffe,长颈鹿
LC_com_vulture,Vulture,秃鹰
LC_com_tiger,Tiger,老虎
LC_com_rhino,Rhino,犀牛
LC_com_hippo,Hippo,河马
LC_com_boar,Boar,野猪
LC_com_gorilla,Gorilla,猩猩
LC_com_alligator,Alligator,鳄鱼
LC_com_toucan,Toucan,巨嘴鸟
LC_com_cashcow,Cash Cow,摇钱牛
LC_com_paperbag,Paper Bag,牛皮纸袋
LC_com_giftbag108,Buff the Magic Dragon,七色魔法牛
LC_com_giftbag229,Nian Monster,年兽（伪）
LC_com_giftbag188,World's Tallest Sheep,世界最高羊
LC_com_giftbagchinesedragon,Chinese Dragon,中华神龙
LC_com_giftbagmonkeyking,Monkey King,悟空
LC_com_giftbagbeijingoperapanda,Beijing Opera Panda,武生熊猫
LC_com_value,Value,超值
LC_com_revivelb,Revive Large Bundle!,复活大礼包！
LC_com_reviverb,Revive Raven Bundle,复活渡鸦礼包
LC_com_reviveb,Revive Bundle,复活礼包
LC_com_reviver,Revive Raven+2000 coins,复活渡鸦+2000金币
LC_com_cashclb,Cash Large Bundle!,摇钱大礼包！
LC_com_cashcb,Cash Bundle,摇钱礼包
LC_com_cashreward,Cash Cow + 1000 coins + 10 diamonds,1000金币 10钻石 摇钱牛
LC_com_get,Get,领取
LC_com_tryagainlater0,Please try again later…,请稍后再试…
LC_com_tryagainlater,Please try again later…,领取失败~请稍后再试~
LC_com_owned,Owned:,您已经拥有：
LC_com_receivedsucc,Received successfully,领取成功~
LC_com_succunlocked,Successfully unlocked,解锁成功
LC_com_novice,Novice,新手
LC_com_wrangler,Wrangler,牛仔
LC_com_champion,Champion,达人
LC_com_master,Master,王者
LC_com_clicktorefreshmission,Click to refresh mission,点击更换任务吧！
LC_com_watchadrefreshmission,Watch ad to refresh mission,观看广告刷新任务
LC_com_friendlyreminder,Friendly Reminder,溫馨提示
LC_com_purchasecashcow,Purchase a cash cow from the Shop and get 2x zoo coins~forever!,从商店里买一只增产的摇钱牛吧~稳赚不赔！
LC_com_usedanimaltoday,You have tried it today~,今天您已经试玩过了哦~
LC_com_fb_CLIENT_UNSUPPORTED_OPERATION,The client does not support the current operation.,客户端不支持当前操作
LC_com_fb_PAYMENTS_NOT_INITIALIZED,Initialization failed.,初始化失败
LC_com_fb_INVALID_PARAM,The parameter(s) passed to the API are invalid.,无效参数
LC_com_fb_NETWORK_FAILURE,The client experienced an issue with a network request.,请检查您的网络
LC_com_fb_INVALID_OPERATION,The requested operation is invalid or the current game state.,无效操作
LC_com_fb_USER_INPUT,Failed.,操作失败
LC_com_fb_PENDING_REQUEST,Request conflict.,请求冲突
LC_com_fb_CLIENT_REQUIRES_UPDATE,Client needs to be updated.,需要更新客户端
LC_com_fb_ADS_TOO_MANY_INSTANCES,There are too many concurrent ad instances.,广告实例过多
LC_com_fb_ADS_FREQUENT_LOAD,Ads are being loaded too frequently.,广告加载过于频繁
LC_com_fb_ADS_NO_FILL,No ads available at the moment. Please try again later.,没有可播放的广告~请稍后尝试。
LC_com_fb_ADS_NOT_LOADED,Failed to load ads.,广告加载失败
LC_com_fb_RATE_LIMITED,The operation is too frequent.,休息会儿再来吧
LC_com_fb_UNKNOWN,An unknown or unspecified issue occurred.,未知错误
LC_com_notcompletecurtask,Task has not been completed,
,,
LC_shop_locked,Locked,未解锁
LC_shop_mostpopular,Most Popular,最畅销
LC_shop_mostvalue,Most Value,最超值
LC_shop_queryingorder,Querying order,正在查询订单
,,
LC_shop_tosee,You can go to the habitat to see,可以前往栖息地查看
LC_shop_reachjungle,Reach the jungle,到达丛林
LC_shop_family,Family,家庭
LC_shop_families,Families,家庭
LC_shop_ultimatepack,Ultimate Gift Pack,终极大礼包
LC_shop_junglepack,Jungle Value  Pack,丛林超值礼包
LC_shop_prairiepack,Prairie Value  Pack,草原超值礼包
LC_shop_elitepack,Elite Pack,精英礼包
LC_shop_seniorpack,Senior Pack,资深礼包
LC_shop_starterpack,Starter Pack,入门礼包
LC_shop_giftpack,Gift Pack,回馈礼包
LC_shop_newcomerpack,Newcomer Pack,萌新礼包
LC_shop_specialoffer,Special Offer,限时特惠
LC_shop_endsin,Offer Ends In,活动剩余时间
LC_shop_collect,Collect,每次活动免费领取
LC_shop_mysterytour,Mystery Tour,活动补给专场
LC_shop_doublerewards,Double Rewards,双倍领取
LC_shop_extracoins,Extra 100% Coins,多送100%金币
LC_shop_bonuscoins,Bonus Coins X 2,一堆金币买一送一
LC_shop_greatvalue,Great Value,超值优选
LC_shop_luckylambbundle,Cash Cow Bundle,摇钱牛礼包
LC_shop_luckylambsale,Lucky Lamb Sale,幸运羔羊特卖
LC_shop_luckylambsaledes,Grab your Epic Animal - Lucky Lamb for 666 bonus coins + 66 bonus diamonds,获得传奇动物幸运羔羊附赠666金币+66钻石
LC_shop_luckylambsaledes1,Grab your Epic Animal - Lucky Lamb for 666 bonus coins,获得传奇动物幸运羔羊附赠666金币
LC_shop_recommended,Recommended,本周推荐
LC_shop_cashcowbundle,Cash Cow Bundle,摇钱牛礼包
LC_shop_cashcowsale,Cash Cow Sale,摇钱牛特卖
LC_shop_cashcowdes,Grab your Epic Animal - Cash Cow for 1000 bonus coins + 10 bonus diamonds,获得传奇动物摇钱牛附赠1000金币+10钻石
LC_shop_cashcowdes1,Grab your Epic Animal - Cash Cow for 1000 bonus coins,获得传奇动物摇钱牛附赠1000金币
LC_shop_specialoffer,Super Discount,惊喜优惠
LC_shop_newcomerpack,Newcomer Pack,萌新礼包
LC_shop_newcomerpackdes,To unlock your crazy journey + 1000 coins with Earl of Phant,获得1000金币和象伯爵~开启霸气狂奔之旅
LC_shop_givebackpack,Give Back Pack,回馈礼包
LC_shop_givebackpackdes,To unlock Electro Zebra + 5000 coins,获得5000金币和电子斑马~超稀有斑马送给可爱的你
LC_shop_starterpack,Starter Pack,入门礼包
LC_shop_starterpackdes,To unlock Glam Rockstrich + Highballer + 10000 coins,10000金币+鸵鸟乐手+环球旅行者~旅行必备
LC_shop_extravagantpack,Extravagant Pack,精英礼包
LC_shop_extravagantpackdes,To unlock Bunny Gator + Borc + Guerilla for your new advanture,20000金币+兔兔鳄+哥布林猪+游击猩猩~开启新的冒险
LC_shop_specialistpack,Specialist Pack,资深礼包
LC_shop_specialistpackdes,To unlock Sknoceros + Brewcan + H.R. Tiger + 34000 coins,34000金币+犀牛飞飞+啤酒鸟+异形虎~霸气十足
LC_shop_savannahvaluepack,Savannah Value Pack,草原超值礼包
LC_shop_savannahvaluepackdes,To unlock all the rare creatures from Savannah + 40000 coins,获得40000金币解锁稀树草原的所有高级动物
LC_shop_junglevaluepack,Jungle Value Pack,丛林超值礼包
LC_shop_junglevaluepackdes,To unlock all the rare creatures from Junble + 100000 coins,获得100000金币解锁丛林的所有高级动物
LC_shop_ultimategiftpack,Ultimate Gift Pack,终极礼包
